sprint_donem;bitis_donem;sprint_faaliyetleri;sno;plan_sure;is_durum;baslama_t;inceleme_t;tamamlanma_t;gercek_sure;performans_gostergeler;guncel_tarih;guncelleyen;pkod;;;
3;3;EBRD Sürdürülebilirlik Eðitimine katýlý saðlandý.;77;1;Tamamlandý;11.03.2026;;11.03.2026;1;;24 03 2026;nuray.efendioglu;6;;;
3;3;Siber Vatan Trabzon eðitimleri hazýrlýklarý, iþ ve iþlemleri yapýldý.;77;4;Tamamlandý;23.02.2026;;13.03.2026;4;;24 03 2026;nuray.efendioglu;6;;;
3;3;Siber Vatan Ordu öðrenci transferi organizasyonu ve konaklamasý iþ ve iþlemleri yapýldý.;77;2;Tamamlandý;02.03.2026;;13.03.2026;2;;24 03 2026;nuray.efendioglu;6;;;
4;;BRIGHT Projesi - Cahul Açýlýþ Toplantýsý Hazýrlýðý;79;2;Baþladý;25.03.2026;;;;;25.03.2026;oguzhan.satir;4;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
